"Function","Category","Subcategory","Informative References"
"IDENTIFY (ID)","Asset Management (ID.AM): The data, personnel, devices, systems, and facilities that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to business objectives and the organization's risk strategy.","ID.AM-1: Physical devices and systems within the organization are inventoried","CCS CSC 1"
,,,"COBIT 5 BAI09.01, BAI09.02"
,,,"ISA 62443-2-1:2009 4.2.3.4"
,,,"ISA 62443-3-3:2013 SR 7.8"
,,,"ISO/IEC 27001:2013 A.8.1.1, A.8.1.2"
,,,"NIST SP 800-53 Rev. 4 CM-8"
,,"ID.AM-2: Software platforms and applications within the organization are inventoried","CCS CSC 2"
,,,"COBIT 5 BAI09.01, BAI09.02, BAI09.05"
,,,"ISA 62443-2-1:2009 4.2.3.4"
,,,"ISA 62443-3-3:2013 SR 7.8"
,,,"ISO/IEC 27001:2013 A.8.1.1, A.8.1.2"
,,,"NIST SP 800-53 Rev. 4 CM-8"
,,"ID.AM-3: Organizational communication and data flows are mapped","CCS CSC 1"
,,,"COBIT 5 DSS05.02"
,,,"ISA 62443-2-1:2009 4.2.3.4"
,,,"ISO/IEC 27001:2013 A.13.2.1"
,,,"NIST SP 800-53 Rev. 4 AC-4, CA-3, CA-9, PL-8"
,,"ID.AM-4: External information systems are catalogued","COBIT 5 APO02.02"
,,,"ISO/IEC 27001:2013 A.11.2.6"
,,,"NIST SP 800-53 Rev. 4 AC-20, SA-9"
,,"ID.AM-5: Resources (e.g., hardware, devices, data, and software) are prioritized based on their classification, criticality, and business value ","COBIT 5 APO03.03, APO03.04, BAI09.02"
,,,"ISA 62443-2-1:2009 4.2.3.6"
,,,"ISO/IEC 27001:2013 A.8.2.1"
,,,"NIST SP 800-53 Rev. 4 CP-2, RA-2, SA-14"
,,"ID.AM-6: Cybersecurity roles and responsibilities for the entire workforce and third-party stakeholders (e.g., suppliers, customers, partners) are established","COBIT 5 APO01.02, DSS06.03"
,,,"ISA 62443-2-1:2009 4.3.2.3.3 "
,,,"ISO/IEC 27001:2013 A.6.1.1"
,,,"NIST SP 800-53 Rev. 4 CP-2, PS-7, PM-11 "
,"Business Environment (ID.BE): The organization's mission, objectives, stakeholders, and activities are understood and prioritized; this information is used to inform cybersecurity roles, responsibilities, and risk management decisions.","ID.BE-1: The organization's role in the supply chain is identified and communicated","COBIT 5 APO08.04, APO08.05, APO10.03, APO10.04, APO10.05"
,,,"ISO/IEC 27001:2013 A.15.1.3, A.15.2.1, A.15.2.2 "
,,,"NIST SP 800-53 Rev. 4 CP-2, SA-12"
,,"ID.BE-2: The organization's place in critical infrastructure and its industry sector is identified and communicated","COBIT 5 APO02.06, APO03.01"
,,,"NIST SP 800-53 Rev. 4 PM-8"
,,"ID.BE-3: Priorities for organizational mission, objectives, and activities are established and communicated","COBIT 5 APO02.01, APO02.06, APO03.01"
,,,"ISA 62443-2-1:2009 4.2.2.1, 4.2.3.6"
,,,"NIST SP 800-53 Rev. 4 PM-11, SA-14"
,,"ID.BE-4: Dependencies and critical functions for delivery of critical services are established","ISO/IEC 27001:2013 A.11.2.2, A.11.2.3, A.12.1.3"
,,,"NIST SP 800-53 Rev. 4 CP-8, PE-9, PE-11, PM-8, SA-14"
,,"ID.BE-5: Resilience requirements to support delivery of critical services are established","COBIT 5 DSS04.02"
,,,"ISO/IEC 27001:2013 A.11.1.4, A.17.1.1, A.17.1.2, A.17.2.1"
,,,"NIST SP 800-53 Rev. 4 CP-2, CP-11, SA-14"
,"Governance (ID.GV): The policies, procedures, and processes to manage and monitor the organization's regulatory, legal, risk, environmental, and operational requirements are understood and inform the management of cybersecurity risk.","ID.GV-1: Organizational information security policy is established","COBIT 5 APO01.03, EDM01.01, EDM01.02"
,,,"ISA 62443-2-1:2009 4.3.2.6"
,,,"ISO/IEC 27001:2013 A.5.1.1"
,,,"NIST SP 800-53 Rev. 4 -1 controls from all families "
,,"ID.GV-2: Information security roles & responsibilities are coordinated and aligned with internal roles and external partners","COBIT 5 APO13.12"
,,,"ISA 62443-2-1:2009 4.3.2.3.3"
,,,"ISO/IEC 27001:2013 A.6.1.1, A.7.2.1"
,,,"NIST SP 800-53 Rev. 4 PM-1, PS-7"
,,"ID.GV-3: Legal and regulatory requirements regarding cybersecurity, including privacy and civil liberties obligations, are understood and managed","COBIT 5 MEA03.01, MEA03.04"
,,,"ISA 62443-2-1:2009 4.4.3.7"
,,,"ISO/IEC 27001:2013 A.18.1"
,,,"NIST SP 800-53 Rev. 4 -1 controls from all families (except PM-1)"
,,"ID.GV-4: Governance and risk management processes address cybersecurity risks","COBIT 5 DSS04.02"
,,,"ISA 62443-2-1:2009 4.2.3.1, 4.2.3.3, 4.2.3.8, 4.2.3.9, 4.2.3.11, 4.3.2.4.3, 4.3.2.6.3"
,,,"NIST SP 800-53 Rev. 4 PM-9, PM-11"
,"Risk Assessment (ID.RA): The organization understands the cybersecurity risk to organizational operations (including mission, functions, image, or reputation), organizational assets, and individuals.","ID.RA-1: Asset vulnerabilities are identified and documented","CCS CSC 4"
,,,"COBIT 5 APO12.01, APO12.02, APO12.03, APO12.04"
,,,"ISA 62443-2-1:2009 4.2.3, 4.2.3.7, 4.2.3.9, 4.2.3.12"
,,,"ISO/IEC 27001:2013 A.12.6.1, A.18.2.3"
,,,"NIST SP 800-53 Rev. 4 CA-2, CA-7, CA-8, RA-3, RA-5, SA-5, SA-11, SI-2, SI-4, SI-5"
,,"ID.RA-2: Threat and vulnerability information is received from information sharing forums and sources","ISA 62443-2-1:2009 4.2.3, 4.2.3.9, 4.2.3.12"
,,,"ISO/IEC 27001:2013 A.6.1.4"
