	A. Risk Assessment and Treatment
SL.1	Is there a risk assessment program that has been approved by management, communicated to constituents and an owner to maintain and review the program? if yes, does it include:
SL.2	Is there a program to manage the treatment of risks identified during assessments?
SL.3	A formal process for assigning appropriate management ownership for each risk?
SL.4	A formal process for appropriate management knowingly and objectively accepting risks and approving action plans?
SL.5	A formal process for tracking the status of action plans and reporting them to management?
SL.6	Controls identified for each material risk?
SL.7	Measures for defining, monitoring, and reporting risk metrics?
SL.8	Do Subcontractors have access to Scoped Systems and Data? (backup vendors, service providers, equipment support maintenance, software maintenance vendors, data recovery vendors, etc.)? If yes, is there:
SL.9	A documented vendor management process in place for the selection, oversight and risk assessment of third party vendors? If yes, does it include:
SL.10	Approval by management?
SL.11	Annual review?
SL.12	Required reassessment when service delivery or contract changes?
SL.13	Review of the subcontractor's vendor management policy and procedures?
SL.14	Is there a process to identify and log subcontractor information security, privacy and/or data breach issues?
SL.15	Is there a vendor management program?
SL.16	Do external parties have access to Scoped Systems and Data or processing facilities?
SL.17	Is the maturity of IT management processes formally evaluated at least annually using an established benchmark (e.g., COBIT maturity models)?
SL.18	Are there regular privacy risk assessments conducted? If yes, provide frequency and scope. If no, explain reason.
SL.19	Are identified privacy risks and associated mitigation plans formally documented and reviewed by management?
SL.20	Are reasonable resources (in time and money) allocated to mitigating identified privacy risks?
SL.21	Is there a compliance risk management system that addresses the quality and accuracy of reported consumer data?
SL.22	Is there a compliance risk management system that addresses the quality of assembling and maintaining the data?
	B. Security Policy
SL.23	Is there an information security policy that has been approved by management, communicated to appropriate constituents and an owner to maintain and review the policy?
SL.24	Have the policies been reviewed in the last 12 months?
	C. Organizational Security
SL.25	Is there a respondent information security function responsible for security initiatives?
	D. Asset and Information Management
SL.26	Is there an asset management policy approved by management, communicated to constituents and an owner to maintain and review?
SL.27	Is information classified?
SL.28	Is there a removable media policy or program (CDs, DVDs, tapes, disk drives) that has been approved by management, communicated to appropriate constituents, and an owner to maintain and review the policy?
SL.29	Is Scoped Data sent or received via physical media?
SL.30	Are encryption tools managed and maintained for Scoped Data? If yes:
SL.31	Are clients provided with the ability to generate a unique encryption key?
SL.32	Are clients provided with the ability to rotate their encryption key on a scheduled basis?
SL.33	Are staff able to access client Scoped Data in an unencrypted state?
SL.34	Are staff able to access client's encryption keys?
